Time,Thermistor,Potentiometer
,,
0,585,486
,,
0,585,486
,,
0,584,486
,,
1,585,486
,,
1,585,486
,,
1,584,486
,,
1,584,486
,,
1,585,486
,,
2,584,487
,,
2,585,486
,,
2,584,486
,,
2,584,486
,,
2,584,487
,,
3,584,486
,,
3,585,486
,,
3,584,486
,,
3,585,486
,,
3,584,486
,,
4,584,486
,,
4,584,486
,,
4,585,486
,,
4,584,486
,,
4,584,486
,,
5,584,486
,,
5,585,486
,,
5,584,434
,,
5,584,241
,,
5,584,0
,,
6,584,0
,,
6,584,0
,,
6,584,0
,,
6,584,0
,,
6,584,0
,,
7,584,0
,,
7,584,0
,,
7,584,0
,,
7,584,0
,,
7,584,0
,,
8,584,0
,,
8,584,0
,,
8,584,0
,,
8,584,0
,,
8,584,0
,,
9,584,0
,,
9,584,0
,,
9,585,0
,,
9,584,0
,,
9,584,0
,,
10,584,0
,,
10,584,0
,,
10,584,0
,,
10,584,0
,,
10,584,0
,,
11,584,0
,,
11,584,0
,,
11,584,0
,,
11,584,0
,,
11,584,0
,,
12,584,0
,,
12,584,0
,,
12,584,0
,,
12,584,0
,,
12,584,0
,,
13,584,0
,,
13,584,0
,,
13,585,0
,,
13,584,0
,,
13,584,0
,,
14,585,0
,,
14,584,0
,,
14,584,0
,,
14,584,0
,,
14,585,0
,,
15,584,0
,,
15,584,0
,,
15,584,0
,,
15,584,0
,,
15,584,0
,,
16,584,0
,,
16,584,0
,,
16,584,0
,,
16,584,0
,,
16,584,0
,,
17,584,0
,,
17,584,0
,,
17,584,0
,,
17,584,0
,,
17,584,0
,,
18,584,0
,,
18,585,0
,,
18,585,0
,,
18,585,0
,,
18,586,0
,,
19,585,0
,,
19,586,0
,,
19,587,0
,,
19,587,0
,,
19,587,0
,,
20,587,0
,,
20,587,0
,,
20,587,0
,,
20,587,0
,,
20,587,0
,,
21,587,0
,,
21,586,0
,,
21,587,0
,,
21,587,0
,,
21,587,0
,,
22,587,0
,,
22,587,0
,,
22,587,0
,,
22,587,0
,,
22,587,0
,,
23,587,0
,,
23,588,0
,,
23,587,0
,,
23,587,0
,,
23,587,0
,,
24,587,0
,,
24,587,0
,,
24,587,0
,,
24,587,0
,,
24,587,0
,,
25,587,0
,,
25,587,0
,,
25,587,0
,,
25,587,0
,,
25,587,0
,,
26,587,0
,,
26,587,0
,,
26,587,0
,,
26,587,0
,,
26,587,0
,,
27,587,0
,,
27,587,0
,,
27,587,0
,,
27,587,0
,,
27,587,0
,,
28,587,0
,,
28,587,0
,,
28,587,0
,,
28,587,0
,,
28,587,0
,,
29,587,0
,,
29,587,0
,,
29,587,0
,,
29,587,0
,,
29,587,0
,,
30,587,0
,,
30,586,0
,,
30,587,0
,,
30,587,0
,,
30,587,0
,,
31,587,0
,,
31,587,4
,,
31,587,49
,,
31,587,135
,,
31,586,233
,,
32,586,311
,,
32,587,353
,,
32,586,377
,,
32,586,386
,,
32,586,396
,,
33,586,426
,,
33,586,451
,,
33,586,464
,,
33,586,468
,,
33,586,469
,,
34,586,475
,,
34,586,483
,,
34,586,488
,,
34,586,491
,,
34,586,496
,,
35,586,502
,,
35,586,504
,,
35,586,506
,,
35,586,507
,,
35,586,507
,,
36,586,508
,,
36,586,509
,,
36,586,512
,,
36,586,514
,,
36,586,514
,,
37,586,515
,,
37,586,515
,,
37,586,515
,,
37,586,514
,,
37,586,515
,,
38,586,515
,,
38,586,515
,,
38,586,515
,,
38,586,515
,,
38,586,515
,,
39,586,515
,,
39,586,515
,,
39,586,515
,,
39,587,515
,,
39,587,514
,,
40,587,514
,,
40,587,514
,,
40,587,514
,,
40,587,514
,,
40,587,515
,,
41,587,515
,,
41,587,515
,,
41,588,514
,,
41,588,515
,,
41,588,515
,,
42,588,514
,,
42,588,515
,,
42,588,515
,,
42,588,515
,,
42,588,514
,,
43,588,515
,,
43,589,515
,,
43,588,514
,,
43,588,515
,,
43,589,515
,,
44,589,514
,,
44,589,515
,,
44,589,515
,,
44,589,514
,,
44,589,515
,,
45,589,515
,,
45,589,514
,,
45,589,514
,,
45,589,515
,,
45,589,514
,,
46,589,515
,,
46,589,515
,,
46,590,514
,,
46,590,515
,,
46,590,514
,,
47,590,515
,,
47,590,515
,,
47,590,515
,,
47,590,514
,,
47,590,514
,,
48,590,515
,,
48,591,514
,,
48,591,514
,,
48,591,515
,,
48,591,515
,,
49,591,515
,,
49,591,515
,,
49,591,515
,,
49,591,514
,,
49,591,514
,,
50,592,515
,,
50,591,514
,,
50,591,514
,,
50,592,514
,,
50,592,514
,,
51,592,515
,,
51,592,515
,,
51,592,515
,,
51,592,515
,,
51,592,515
,,
52,592,514
,,
52,592,515
,,
52,592,515
,,
52,592,514
,,
52,593,515
,,
53,592,515
,,
53,593,514
,,
53,593,514
,,
53,593,515
,,
53,593,515
,,
54,593,514
,,
54,593,515
,,
54,593,514
,,
54,593,515
,,
54,593,515
,,
55,594,515
,,
55,593,514
,,
55,593,515
,,
55,594,515
,,
55,594,514
,,
56,594,515
,,
56,594,515
,,
56,594,515
,,
56,595,515
,,
56,594,515
,,
57,594,515
,,
57,595,514
,,
57,595,514
,,
57,594,515
,,
57,595,514
,,
58,594,515
,,
58,594,514
,,
58,595,515
,,
58,595,515
,,
58,594,515
,,
59,595,515
,,
59,595,515
,,
59,595,515
,,
59,595,515
,,
60,595,514
,,
60,595,515
,,
60,595,515
,,
60,595,514
,,
60,595,514
,,
61,595,515
,,
61,595,515
,,
61,595,515
,,
61,595,515
,,
61,595,515
,,
62,595,515
,,
62,595,515
,,
62,595,514
,,
62,595,514
,,
62,595,515
,,
63,595,515
,,
63,595,514
,,
63,596,514
,,
63,596,515
,,
63,596,515
,,
64,596,515
,,
64,596,515
,,
64,596,515
,,
64,596,515
,,
64,596,515
,,
65,596,515
,,
65,596,514
,,
65,596,515
,,
65,596,515
,,
65,596,514
,,
66,596,515
,,
66,596,515
,,
66,597,514
,,
66,596,515
,,
66,596,515
,,
67,597,514
,,
67,597,514
,,
67,597,514
,,
67,597,514
,,
67,597,515
,,
68,597,515
,,
68,597,515
,,
68,597,515
,,
68,597,530
,,
68,597,643
,,
69,597,827
,,
69,597,1015
,,
69,597,1023
,,
69,597,1023
,,
69,597,1023
,,
70,597,1023
,,
70,597,1023
,,
70,597,1023
,,
70,597,1023
,,
70,597,1023
,,
71,597,1023
,,
71,597,1023
,,
71,597,1023
,,
71,597,1023
,,
71,597,1023
,,
72,597,1023
,,
72,597,1023
,,
72,597,1023
,,
72,597,1023
,,
72,597,1023
,,
73,597,1023
,,
73,597,1023
,,
73,597,1023
,,
73,597,1023
,,
73,598,1023
,,
74,597,1023
,,
74,598,1023
,,
74,598,1023
,,
74,598,1023
,,
74,598,1023
,,
75,598,1023
,,
75,598,1023
,,
75,598,1023
,,
75,598,1023
,,
75,598,1023
,,
76,598,1023
,,
76,598,1023
,,
76,598,1023
,,
76,598,1023
,,
76,598,1023
,,
77,598,1023
,,
77,598,1023
,,
77,598,1023
,,
77,598,1023
,,
77,598,1023
,,
78,599,1023
,,
78,598,1023
,,
78,598,1023
,,
78,598,1023
,,
78,598,1023
,,
79,598,1023
,,
79,599,1023
,,
79,599,1023
,,
79,599,1023
,,
79,598,1023
,,
80,598,1023
,,
80,598,1023
,,
80,598,1023
,,
80,598,1023
,,
80,598,1023
,,
81,598,1023
,,
81,598,1023
,,
81,598,1023
,,
81,598,1023
,,
81,598,1023
,,
82,598,1023
,,
82,598,1023
,,
82,598,1023
,,
82,599,1023
,,
82,598,1023
,,
83,598,1023
,,
83,599,1023
,,
83,598,1023
,,
83,598,1023
,,
83,598,1023
,,
84,599,1023
,,
84,599,1023
,,
84,599,1023
,,
84,598,1023
,,
84,599,1023
,,
85,599,1023
,,
85,598,1023
,,
85,598,1023
,,
85,598,1023
,,
85,598,1023
,,
86,598,1023
,,
86,598,1023
,,
86,599,1023
,,
86,598,1023
,,
86,598,1023
,,
87,598,1023
,,
87,598,1023
,,
87,598,1023
,,
87,598,1023
,,
87,598,1023
,,
88,598,1023
,,
88,598,1023
,,
88,598,1023
,,
88,598,1023
,,
88,598,1023
,,
89,598,1023
,,
89,598,1023
,,
89,598,1023
,,
89,598,1023
,,
89,598,1023
,,
90,598,1023
,,
90,598,1023
,,
90,598,1023
,,
90,598,1023
,,
90,598,1023
,,
91,598,1023
,,
91,598,1023
,,
91,598,1023
,,
91,598,1023
,,
91,598,1023
,,
92,598,1023
,,
92,598,1023
,,
92,598,1023
,,
92,598,1023
,,
92,598,1023
,,
93,598,1023
,,
93,598,1023
,,
93,598,1023
,,
93,598,1023
,,
93,598,1023
,,
94,598,1023
,,
94,598,1023
,,
94,598,1023
,,
94,599,1023
,,
94,598,1023
,,
95,598,1023
,,
95,598,1023
,,
95,598,1023
,,
95,598,1023
,,
95,599,1023
,,
96,599,1023
,,
96,598,1023
,,
96,598,1023
,,
96,598,1023
,,
96,598,1023
,,
97,598,1023
,,
97,598,1023
,,
97,598,1023
,,
97,598,1023
,,
97,598,1023
,,
98,598,1023
,,
98,598,1023
,,
98,598,1023
,,
98,598,1023
,,
98,598,1023
,,
99,598,1023
,,
99,598,1023
,,
99,598,1023
,,
99,598,1023
,,
99,598,1023
,,
100,598,1023
,,
100,599,1023
,,
100,599,1023
,,
100,599,1023
,,
100,598,1023
,,
101,599,1023
,,
101,599,1023
,,
101,598,1023
,,
101,598,1023
,,
101,598,1023
,,
102,598,1023
,,
102,598,1023
,,
102,599,1023
,,
102,599,1023
,,
102,599,1023
,,
103,599,1023
,,
103,599,1023
,,
103,599,1023
,,
103,599,1023
,,
103,599,1023
,,
104,599,1023
,,
104,599,1023
,,
104,599,1023
,,
104,599,1023
,,
104,599,1023
,,
105,599,1023
,,
105,599,1023
,,
105,599,1023
,,
105,599,1023
,,
105,599,1023
,,
106,599,1023
,,
106,599,1023
,,
106,599,1023
,,
106,599,1023
,,
106,599,1023
,,
107,599,1023
,,
107,599,1023
,,
107,599,1023
,,
107,599,1023
,,
107,599,1023
,,
108,599,1023
,,
108,599,1023
,,
108,599,1023
,,
108,599,1023
,,
108,599,1023
,,
109,599,1023
,,
109,599,1023
,,
109,599,1023
,,
109,599,1023
,,
109,599,1023
,,
110,599,1023
,,
110,599,1023
,,
110,599,1023
,,
110,599,1023
,,
110,599,1023
,,
111,599,1023
,,
111,599,1023
,,
111,599,1023
,,
111,599,1023
,,
112,599,1023
,,
112,599,1023
,,
112,599,1023
,,
112,599,1023
,,
112,600,1023
,,
113,599,1023
,,
113,599,1023
,,
113,600,1023
,,
113,599,1023
,,
113,599,1023
,,
114,599,1023
,,
114,600,1023
,,
114,599,1023
,,
114,599,1023
,,
114,600,1023
,,
115,599,1023
,,
115,599,1023
,,
115,600,1023
,,
115,599,1023
,,
115,599,1023
,,
116,599,1023
,,
116,599,1023
,,
116,599,1023
,,
116,599,1023
,,
116,599,1023
,,
117,599,1023
,,
117,599,1023
,,
117,599,1023
,,
117,599,1023
,,
117,599,1023
,,
118,599,1023
,,
118,599,1023
,,
118,599,1023
,,
118,599,1023
,,
118,599,1023
,,
119,599,1023
,,
119,599,1023
,,
119,600,1023
,,
119,599,1023
,,
119,599,1023
,,
120,600,1023
,,
120,599,1023
,,
120,599,1023
,,
120,599,1023
,,
120,599,1023
,,
121,599,1023
,,
121,599,1023
,,
121,600,1023
,,
121,600,1023
,,
121,600,1023
,,
122,599,1023
,,
122,599,1023
,,
122,599,1023
,,
122,599,1023
,,
122,600,1023
,,
123,600,1023
,,
123,600,1023
,,
123,600,1023
,,
123,599,1023
,,
123,600,1023
,,
124,600,1023
,,
124,600,1023
,,
124,600,1023
,,
124,600,1023
,,
124,600,1023
,,
125,600,1023
,,
125,600,1023
,,
125,600,1023
,,
125,600,1023
,,
125,600,1023
,,
126,600,1023
,,
126,600,1023
,,
126,600,1023
,,
126,600,1023
,,
126,600,1023
,,
127,600,1023
,,
127,600,1023
,,
127,600,1023
,,
127,600,1023
,,
127,600,1023
,,
128,600,1023
,,
128,600,1023
,,
128,600,1023
,,
128,600,1023
,,
128,600,1023
,,
129,600,1023
,,
129,600,1023
,,
129,600,1023
,,
129,600,1023
,,
129,600,1023
,,
130,600,1023
,,
130,600,1023
,,
130,600,1023
,,
130,600,1023
,,
130,600,1023
,,
131,600,1023
,,
131,600,1023
,,
131,600,1023
,,
131,600,1023
,,
131,600,1023
,,
132,600,1023
,,
132,600,1023
,,
132,600,1023
,,
132,600,1023
,,
132,600,1023
,,
133,600,1023
,,
133,600,1023
,,
133,600,1023
,,
133,600,969
,,
133,599,746
,,
134,600,505
,,
134,599,302
,,
134,599,136
,,
134,599,19
,,
134,599,0
,,
135,599,0
,,
135,599,0
,,
135,599,0
,,
135,599,0
,,
135,599,0
,,
136,599,0
,,
136,599,0
,,
136,599,0
,,
136,599,0
,,
136,599,0
,,
137,599,0
,,
137,599,0
,,
137,599,0
,,
137,598,0
,,
137,598,0
,,
138,598,0
,,
138,598,0
,,
138,598,0
,,
138,598,0
,,
138,597,0
,,
139,598,0
,,
139,598,0
,,
139,597,0
,,
139,598,0
,,
139,598,0
,,
140,597,0
,,
140,597,0
,,
140,597,0
,,
140,597,0
,,
140,597,0
,,
141,597,0
,,
141,597,0
,,
141,597,0
,,
141,597,0
,,
141,597,0
,,
142,597,0
,,
142,597,0
,,
142,596,0
,,
142,596,0
,,
142,596,0
,,
143,596,0
,,
143,596,0
,,
143,596,0
,,
143,596,0
,,
143,596,0
,,
144,596,0
,,
144,596,0
,,
144,595,0
,,
144,595,0
,,
144,595,0
,,
145,595,0
,,
145,595,0
,,
145,595,0
,,
145,595,0
,,
145,595,0
,,
146,595,0
,,
146,595,0
,,
146,595,0
,,
146,594,0
,,
146,594,0
,,
147,595,0
,,
147,594,0
,,
147,594,0
,,
147,594,0
,,
147,594,0
,,
148,593,0
,,
148,594,0
,,
148,594,0
,,
148,593,0
,,
148,594,0
,,
149,593,0
,,
149,593,0
,,
149,593,0
,,
149,593,0
,,
149,593,0
,,
150,593,0
,,
150,593,0
,,
150,593,0
,,
150,592,0
,,
150,592,0
,,
151,592,0
,,
151,593,0
,,
151,593,0
,,
151,592,0
,,
151,593,0
,,
152,592,0
,,
152,593,0
,,
152,592,0
,,
152,592,0
,,
152,592,0
,,
153,592,0
,,
153,592,0
,,
153,592,0
,,
153,592,0
,,
153,592,0
,,
154,592,0
,,
154,591,0
,,
154,592,0
,,
154,591,0
,,
154,591,0
,,
155,591,0
,,
155,591,0
,,
155,591,0
,,
155,591,0
,,
155,591,0
,,
156,591,0
,,
156,591,0
,,
156,590,0
,,
156,591,0
,,
156,591,0
,,
157,591,0
,,
157,590,0
,,
157,590,0
,,
157,590,0
,,
157,590,0
,,
158,590,0
,,
158,590,0
,,
158,590,0
,,
158,590,0
,,
158,590,0
,,
159,590,0
,,
159,590,0
,,
159,590,0
,,
159,590,0
,,
159,589,0
,,
160,590,0
,,
160,589,0
,,
160,590,0
,,
160,589,0
,,
160,589,0
,,
161,589,0
,,
161,590,0
,,
161,590,0
,,
161,589,0
,,
161,589,0
,,
162,589,0
,,
162,589,0
,,
162,589,0
,,
162,588,0
,,
162,589,0
,,
163,588,0
,,
163,588,0
,,
163,589,0
,,
163,589,0
,,
163,588,0
,,
164,589,0
,,
164,589,0
,,
164,589,0
,,
164,588,0
,,
164,589,0
,,
165,588,0
,,
165,588,0
,,
165,588,0
,,
165,589,0
,,
165,588,0
,,
166,588,0
,,
166,588,0
,,
166,588,0
,,
166,588,0
,,
167,588,0
,,
167,588,0
,,
167,587,0
,,
167,588,0
,,
167,588,0
,,
168,588,0
,,
168,588,0
,,
168,587,0
,,
168,588,0
,,
168,588,0
,,
169,588,0
,,
169,587,0
,,
169,587,0
,,
169,588,0
,,
169,588,0
,,
170,588,0
,,
170,588,0
,,
170,587,0
,,
170,588,0
,,
170,587,0
,,
171,587,0
,,
171,587,0
,,
171,587,0
,,
171,587,0
,,
171,587,0
,,
172,587,0
,,
172,587,0
,,
172,587,0
,,
172,587,0
,,
172,587,0
,,
173,587,0
,,
173,587,0
,,
173,587,0
,,
173,587,0
,,
173,587,0
,,
174,587,0
,,
174,587,0
,,
174,587,0
,,
174,587,0
,,
174,586,0
,,
175,587,0
,,
175,587,0
,,
175,587,0
,,
175,587,0
,,
175,587,0
,,
176,587,0
,,
176,587,0
,,
176,587,0
,,
176,586,0
,,
176,586,0
,,
177,586,0
,,
177,586,0
,,
177,586,0
,,
177,586,0
,,
177,586,0
,,
178,587,0
,,
178,586,0
,,
178,586,0
,,
178,586,0
,,
178,586,0
,,
179,586,0
,,
179,587,0
,,
179,586,0
,,
179,587,0
,,
179,586,0
,,
180,586,0
,,
180,586,0
,,
180,586,0
,,
180,586,0
,,
180,586,0
,,
181,587,0
,,
181,586,0
,,
181,586,0
,,
181,586,0
,,
181,586,0
,,
182,586,0
,,
182,586,0
,,
182,586,0
,,
182,586,0
,,
182,586,0
,,
183,586,0
,,
183,586,0
,,
183,586,0
,,
183,586,0
,,
183,586,0
,,
184,586,0
,,
184,586,0
,,
184,586,0
,,
184,586,0
,,
184,586,0
,,
185,586,0
,,
185,586,0
,,
185,586,0
,,
185,586,0
,,
185,585,0
,,
186,585,0
,,
186,586,0
,,
186,586,0
,,
186,586,0
,,
186,586,0
,,
187,586,0
,,
187,586,0
,,
187,586,0
,,
187,586,0
,,
187,586,0
,,
188,586,0
,,
188,585,0
,,
188,586,0
,,
188,586,0
,,
188,586,0
,,
189,585,0
,,
189,585,0
,,
189,585,0
,,
189,586,0
,,
189,586,0
,,
190,585,0
,,
190,585,0
,,
190,585,0
,,
190,585,0
,,
190,586,0
,,
191,585,0
,,
191,585,0
,,
191,585,0
,,
191,585,0
,,
191,585,0
,,
192,585,0
,,
192,585,0
,,
192,586,0
,,
192,586,0
,,
192,586,0
,,
193,585,0
,,
193,585,0
,,
193,585,0
,,
193,585,0
,,
193,585,0
,,
194,585,0
,,
194,585,0
,,
194,585,0
,,
194,585,0
,,
194,585,0
,,
195,585,0
,,
195,585,0
,,
195,585,0
,,
195,585,0
,,
195,585,0
,,
196,585,0
,,
196,586,0
,,
196,585,0
,,
196,585,0
,,
196,585,0
,,
197,585,0
,,
197,585,0
,,
197,585,0
,,
197,585,0
,,
197,585,0
,,
198,585,0
,,
198,585,0
,,
198,585,0
,,
198,585,0
,,
198,585,0
,,
199,586,0
,,
199,585,0
,,
199,585,0
,,
199,585,0
,,
199,585,0
,,
200,585,0
,,
200,585,0
,,
200,585,0
,,
200,585,0
,,
200,585,0
,,
201,585,0
,,
201,585,0
,,
201,585,0
,,
201,585,0
,,
201,585,0
,,
202,585,0
,,
202,585,0
,,
202,585,0
,,
202,585,0
,,
202,585,0
,,
203,585,0
,,
203,585,0
,,
203,585,0
,,
203,585,0
,,
203,585,0
,,
204,585,0
,,
204,585,0
,,
204,585,0
,,
204,585,0
,,
204,585,0
,,
205,584,0
,,
205,585,0
,,
205,585,0
,,
205,585,0
,,
205,585,0
,,
206,584,0
,,
206,585,0
,,
206,585,0
,,
206,585,0
,,
206,584,0
,,
207,585,0
,,
207,584,0
,,
207,585,0
,,
207,585,0
,,
207,584,0
,,
208,585,0
,,
208,585,0
,,
208,585,0
,,
208,584,0
,,
208,585,0
,,
209,585,0
,,
209,584,0
,,
209,584,0
,,
209,585,0
,,
209,585,0
,,
210,584,0
,,
210,585,0
,,
210,584,0
,,
210,584,0
,,
210,584,0
,,
211,584,0
,,
211,584,0
,,
211,585,0
,,
211,584,0
,,
211,584,0
,,
212,584,0
,,
212,584,0
,,
212,584,0
,,
212,584,0
,,
212,584,0
,,
213,584,0
,,
213,584,0
,,
213,584,0
,,
213,584,0
,,
213,584,0
,,
214,584,0
,,
214,584,0
,,
214,584,0
,,
214,584,0
,,
214,584,0
,,
215,584,0
,,
215,584,0
,,
215,584,0
,,
215,584,0
,,
215,584,0
,,
216,584,0
,,
216,584,0
,,
216,585,0
,,
216,584,0
,,
216,584,0
,,
217,584,0
,,
217,584,0
,,
217,584,0
,,
217,584,0
,,
217,584,0
,,
218,584,0
,,
218,584,0
,,
218,584,0
